Albedo,Aspect,EVI,Elevation,IBI,LST_Celsius,LandCover,MNDWI,NDBI,NDVI,NightLights,Population,SAVI,Slope,latitude,longitude
9573.8012,90.0,0.1731416509783787,577,3.5690517390591934,29.620000000000005,40,0.21795928478240967,-0.13605928622505364,-0.06495452113429641,7.56083345413208,0.0,-0.0974291752494583,0.4894101233704378,18.641710909936698,73.7138615927815
6897.065199999999,313.45168693667756,0.08460890324392642,580,6.3950902691035525,30.590000000000032,10,0.1375623643398285,-0.06883283454467722,-0.037128331535972885,20.011667251586914,0.0,-0.055690352397458114,0.6742697156448547,18.6728350478375,73.8453517134875
2308.7622,244.63585332832014,0.9815411661295048,591,-8.343785448089271,29.08000000000004,50,-0.17523609101772308,0.013758146204054356,0.14022603599832567,5.4716668128967285,17.426010131835938,0.21031704509783405,1.0824533298757746,18.53389654498649,73.7176686128291
1441.4381999999998,90.0,1.7502507522567703,575,3.596910057770787,29.930000000000007,50,-0.20481927692890167,-0.025612471625208855,0.23375753516409914,57.5966682434082,367.5462341308594,0.35057759919638376,0.9783336833873728,18.569139992228063,73.77081330592439
1778.9022,180.0,0.6099518459069021,645,4.281707690999181,28.850000000000023,50,-0.22866548597812653,0.13152985274791718,0.06521739130434782,9.614999771118164,23.252822875976562,0.09781209781209782,0.463735342881014,18.439553191942267,73.82634987492122
1687.3822,274.92680399557173,1.9811847988077496,623,5.167883154955455,27.350000000000023,30,-0.41339200735092163,-0.12495134025812149,0.5822611552148919,2.059166669845581,0.0,0.8732722047351855,5.383832205104302,18.519184095459345,73.63321231516093
2077.1252,270.0,2.9804957334416904,610,4.0511250440765565,30.590000000000032,10,-0.3957250118255615,-0.2121310979127884,0.652,14.864999771118164,202.88455200195312,0.977891345406066,1.4678728312622762,18.63350201532225,73.87380168380339
865.6722,180.0,-7.375,575,2.3130658434013887,30.450000000000045,50,-0.2114853709936142,0.04775549188156638,0.17363154796939376,11.12166690826416,0.0,0.26037069726390116,1.3909630807829783,18.691111399909165,73.84285453684878
7450.0992,261.0207622810559,0.22188282211191718,556,3.563186745747461,28.58333333333337,10,0.1952837109565735,-0.11038696765899658,-0.07127282638321068,14.029166221618652,0.0,-0.10690559738357239,2.9686101738696573,18.544543103875345,73.86159974076998
5917.321199999999,83.99087008616385,0.06171932402645114,585,12.420617273086402,30.590000000000032,50,0.0899432823061943,-0.03961995249406176,-0.022512060032160084,22.475000381469727,258.1280517578125,-0.03376658180356425,4.421036220371507,18.667912563452983,73.84926066712671
7220.8322,46.55901852914959,0.1683003513963381,648,4.487294172876284,32.04000000000002,50,0.11888112127780914,-0.05270655270655271,-0.0518888096935139,40.42416763305664,1255.9510498046875,-0.0778304408253448,1.3486186315657216,18.735936470587582,73.83904879490312
2096.0042,96.75399799927354,9.0625,592,3.9530404223898086,31.32000000000005,50,-0.1969151645898819,-0.090625,0.30497779855106333,29.85333251953125,938.453857421875,0.45741324921135645,3.9369815777295054,18.661455985212484,73.8291065144939
